,return
2011-11-30,0.0
2011-12-31,0.0
2012-01-31,0.008950949432507072
2012-02-29,0.01155575797255981
2012-03-31,0.05208099999273741
2012-04-30,-0.02636323571188437
2012-05-31,-0.015774079595277102
2012-06-30,0.0550599663864666
2012-07-31,0.022419668747156285
2012-08-31,-0.02820059339462122
2012-09-30,-0.010514567212435932
2012-10-31,-0.033170787418169145
2012-11-30,-0.028838063208381115
2012-12-31,0.04832718758456922
2013-01-31,0.023355466489928478
2013-02-28,0.0015471703915894697
2013-03-31,0.04896108761193396
2013-04-30,0.027230146912774478
2013-05-31,-0.03066356907458645
2013-06-30,-0.01846912033492587
2013-07-31,0.04684566703970128
2013-08-31,-0.04986514909831796
2013-09-30,0.02930138066328225
2013-10-31,0.03124328019862954
2013-11-30,0.01721584680241306
2013-12-31,0.016852112379810436
2014-01-31,-0.03936511655298658
2014-02-28,0.05670977713352232
2014-03-31,0.0006768017397345005
2014-04-30,0.04119772563695645
2014-05-31,-0.010571767632520657
2014-06-30,0.027496943411977393
2014-07-31,-0.019786600660401055
2014-08-31,0.040669988197470364
2014-09-30,-0.0394374245884056
2014-10-31,0.01776273444503862
2014-11-30,0.012292011822315096
2014-12-31,0.008140495581009155
2015-01-31,0.02764274195284888
2015-02-28,0.0029962113741095475
2015-03-31,-0.0384002507876966
2015-04-30,0.01055882918244544
2015-05-31,0.022111134431012314
2015-06-30,-0.02923166542321154
2015-07-31,0.004233985782341021
2015-08-31,-0.10711845102486983
2015-09-30,-0.022463064394143695
2015-10-31,0.03163359997409976
2015-11-30,-0.014485274675117954
2015-12-31,-0.044042374047626454
2016-01-31,0.023095991409207484
2016-02-29,-0.001117683863538499
2016-03-31,0.06164154535026101
2016-04-30,-0.02878045924903283
2016-05-31,-0.02681368668256201
2016-06-30,0.0012671978467624356
2016-07-31,-0.00801735514915125
2016-08-31,-0.02768906312272812
2016-09-30,0.01573676285216652
2016-10-31,-0.009272756629203127
2016-11-30,0.13370677822090338
2016-12-31,0.028777248421567814
2017-01-31,-0.021200309738160672
2017-02-28,0.037626429115593885
2017-03-31,-0.002922667331064277
2017-04-30,0.013296558071840714
2017-05-31,0.031816169730003674
2017-06-30,-0.010043252592135232
2017-07-31,0.011279973310296398
2017-08-31,0.0010069374461387781
2017-09-30,0.00795738023131598
2017-10-31,0.013943262686699986
2017-11-30,0.004891529278393092
2017-12-31,0.01104537138157502
2018-01-31,0.0459957514884588
2018-02-28,-0.055057333444182066
2018-03-31,-0.07152522004972106
2018-04-30,-0.0197524072575056
2018-05-31,0.013713905330202225
2018-06-30,-0.03849772793126993
2018-07-31,0.009345024700535554
2018-08-31,0.02233537078919179
2018-09-30,0.011491753378435332
2018-10-31,-0.08745568535677573
2018-11-30,0.007835808520571641
2018-12-31,-0.08851431204405169
2019-01-31,0.05915299004115515
2019-02-28,0.027119041692807766
2019-03-31,-0.003812263281791739
2019-04-30,0.004820716664268643
2019-05-31,-0.055662755789621876
2019-06-30,0.03843293902917866
2019-07-31,-0.018402946962281286
2019-08-31,0.010477604579069766
2019-09-30,0.014201543494145152
2019-10-31,-0.007189984017991979
2019-11-30,0.0001593095437975034
2019-12-31,0.04446245090121281
2020-01-31,0.01699791234816095
2020-02-29,-0.05958492393838777
2020-03-31,-0.11756672060964768
2020-04-30,-0.02129607631077679
2020-05-31,0.0009212635231745647
2020-06-30,0.029467230818486456
2020-07-31,0.03975695750418651
2020-08-31,0.11171968114257536
2020-09-30,-0.06451681217573824
2020-10-31,-0.010396498310508595
2020-11-30,0.013663607714468728
2020-12-31,-0.007104905235470249
2021-01-31,-0.012322077132466136
2021-02-28,0.06808496165776523
2021-03-31,0.03013884936056721
2021-04-30,0.041065642865201424
2021-05-31,0.017440480750554155
2021-06-30,0.0011992964821438967
2021-07-31,0.01641242628417583
2021-08-31,0.018741177423950095
2021-09-30,-0.06893869815386933
2021-10-31,0.06982616784354878
2021-11-30,-0.05243658736264767
2021-12-31,0.02609760811953943
